Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-02-15,Portrait of a Lady on Fire,2019,https://boxd.it/2A5V6l,5,,,2022-02-14
2022-02-17,Birdman,2015,https://boxd.it/2ApWwz,3.5,,,2022-02-16
2022-03-04,Garage People,2020,https://boxd.it/2D4nFB,5,,,2022-03-03
2022-03-11,Kiki's Delivery Service,1989,https://boxd.it/2ErL6Z,5,Yes,,2022-03-07
2022-03-15,Hotel Transylvania,2012,https://boxd.it/2FgjFJ,,Yes,,2022-03-13
2022-03-15,Supernova,2020,https://boxd.it/2FhoKV,3.5,,,2022-03-14
2022-03-17,Ponyo,2008,https://boxd.it/2FBPf1,4,Yes,,2022-03-16
2022-03-24,Cargo 200,2007,https://boxd.it/2GRqwH,,,,2022-03-23
2022-03-27,Prisoners,2013,https://boxd.it/2HvV1v,4,Yes,,2022-03-27
2022-04-16,Navalny,2022,https://boxd.it/2KYzlN,,,,2022-04-15
2022-05-23,"Love, Death & Robots: Bad Travelling",2022,https://boxd.it/2REP4B,,,,2022-05-22
2022-05-23,"Love, Death & Robots: Jibaro",2022,https://boxd.it/2REPbx,,,,2022-05-22
2022-05-23,"Love, Death & Robots: The Very Pulse of the Machine",2022,https://boxd.it/2REPkf,,,,2022-05-22
2022-05-23,"Love, Death & Robots: Mason's Rats",2022,https://boxd.it/2REPpp,,,,2022-05-22
2022-05-23,"Love, Death & Robots: In Vaulted Halls Entombed",2022,https://boxd.it/2REPM9,,,,2022-05-22
2022-05-23,"Love, Death & Robots: Swarm",2022,https://boxd.it/2REPQl,,,,2022-05-22
2022-05-23,"Love, Death & Robots: Kill Team Kill",2022,https://boxd.it/2REPXh,,,,2022-05-22
2022-05-23,"Love, Death & Robots: Night of the Mini Dead",2022,https://boxd.it/2REQ2h,,,,2022-05-22
2022-05-23,"Love, Death & Robots: Three Robots: Exit Strategies",2022,https://boxd.it/2REQb9,,,,2022-05-22
2022-05-23,Encanto,2021,https://boxd.it/2RLU4Z,,,,2022-05-23
2022-05-24,"Love, Death & Robots: Ice",2021,https://boxd.it/2RPyhZ,,Yes,,2022-05-23
2022-06-01,Notting Hill,1999,https://boxd.it/2Tf4Id,5,Yes,,2022-05-31
2022-06-06,Paddington,2014,https://boxd.it/2U6LMN,5,,,2022-06-05
2022-06-08,Everything Everywhere All at Once,2022,https://boxd.it/2UrYNL,5,,,2022-06-07
2022-06-12,Fallen Angels,1995,https://boxd.it/2V5g5v,4.5,Yes,,2022-06-11
2022-06-21,Fantastic Mr. Fox,2009,https://boxd.it/2WWtWn,3,,,2022-06-17
2022-06-30,Virginity,2008,https://boxd.it/2Yvzzt,2.5,,,2022-06-29
2022-07-02,Prisoners,2013,https://boxd.it/2YQPGR,4,Yes,,2022-07-01
2022-07-02,Out of Breath,2019,https://boxd.it/2YQSQ1,,,,2022-07-01
2022-07-16,Horse Julius on the throne and Three Heroes,2021,https://boxd.it/31z4rX,,,,2022-07-14
2022-07-18,An Algorithm,2017,https://boxd.it/3224w7,,,,2022-07-18
2022-07-26,Maggie,2018,https://boxd.it/33FuE9,,Yes,,2022-07-25
2022-08-03,Memories of Murder,2003,https://boxd.it/35CWgV,,,,2022-08-02
2022-08-08,In Limbo,2021,https://boxd.it/36JcLh,,,,2022-08-07
2022-09-07,Call Center,2020,https://boxd.it/3cCdhn,,,,2022-09-06
2022-09-08,Loveless,2017,https://boxd.it/3cNtkz,,,,2022-09-07
2022-09-10,Winter Journey,2013,https://boxd.it/3d8mTJ,,,,2022-09-09
2022-09-16,Kedi,2016,https://boxd.it/3ecn9p,,,,2022-09-15
2022-09-23,Ivan Ilyin: The Little Prince,2020,https://boxd.it/3fwPwb,,,,2022-09-22
2022-09-23,Kirill Selegey: Voice of the Generation,2021,https://boxd.it/3fA16v,,,,2022-09-22
2022-09-29,The Execution,2021,https://boxd.it/3gIPQD,,,,2022-09-28
2022-10-07,Dima Gavrilov: Steve Jobs Stanford Commencement Speech,2021,https://boxd.it/3inH1X,,,,2022-10-06
2022-10-10,Scarecrow,1984,https://boxd.it/3j7W0d,5,Yes,,2022-10-09
2022-11-09,Decision to Leave,2022,https://boxd.it/3pBSnr,,,,2022-11-08
2022-11-13,After Hours,1985,https://boxd.it/3qisJ3,,Yes,,2022-11-12
2022-11-13,Ivan Ilyin: Primitivism,2021,https://boxd.it/3qnbmV,5,,,2022-11-12
2022-11-21,Contempt,1963,https://boxd.it/3s5Jsl,,,,2022-11-20
2022-12-13,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/3wFKcr,,,,2022-12-12
2022-12-16,Aftersun,2022,https://boxd.it/3xjlBV,,,,2022-12-14
2023-01-01,"The Irony of Fate, or Enjoy Your Bath!",1975,https://boxd.it/3CvG9x,5,Yes,,2022-12-31
2023-01-01,Business Proposal,2022,https://boxd.it/3CxVc1,,,,2023-01-01
2023-01-03,American Beauty,1999,https://boxd.it/3Dkhrj,,,,2023-01-02
2023-01-04,My Neighbor Totoro,1988,https://boxd.it/3DFLGZ,,Yes,,2023-01-03
2023-01-05,Yi Yi,2000,https://boxd.it/3E7lzT,,,,2023-01-04
2023-01-07,Aloners,2021,https://boxd.it/3EOHsh,,,,2023-01-06
2023-02-04,Blade Runner,1982,https://boxd.it/3O6tsp,,,,2023-02-03
